+--------+--------+------+
| origin | destin | dist |
+--------+--------+------+
| ABE    | ATL    |  692 |
| ABE    | BHM    |  792 |
| ABE    | CLE    |  339 |
| ABE    | CLT    |  481 |
| ABE    | CVG    |  503 |
| ABE    | DTW    |  424 |
| ABE    | JFK    |   87 |
| ABE    | LGA    |   82 |
| ABE    | ORD    |  654 |
| ABE    | PHL    |   55 |
| ABI    | DFW    |  158 |
| ABQ    | AMA    |  277 |
| ABQ    | ATL    | 1269 |
| ABQ    | AUS    |  619 |
| ABQ    | BWI    | 1670 |
| ABQ    | CLE    | 1411 |
| ABQ    | CVG    | 1240 |
| ABQ    | DAL    |  580 |
| ABQ    | DEN    |  349 |
| ABQ    | DFW    |  569 |
| ABQ    | ELP    |  223 |
| ABQ    | EWR    | 1805 |
| ABQ    | HOU    |  759 |
| ABQ    | IAD    | 1628 |
| ABQ    | IAH    |  744 |
| ABQ    | LAS    |  487 |
| ABQ    | LAX    |  677 |
| ABQ    | LBB    |  289 |
| ABQ    | MAF    |  332 |
| ABQ    | MCI    |  718 |
| ABQ    | MCO    | 1552 |
| ABQ    | MDW    | 1121 |
| ABQ    | MSP    |  981 |
| ABQ    | OAK    |  889 |
| ABQ    | OKC    |  510 |
| ABQ    | ONT    |  631 |
| ABQ    | ORD    | 1118 |
| ABQ    | PDX    | 1111 |
| ABQ    | PHX    |  328 |
| ABQ    | SAN    |  628 |
| ABQ    | SAT    |  609 |
| ABQ    | SEA    | 1180 |
| ABQ    | SFO    |  896 |
| ABQ    | SLC    |  493 |
| ABQ    | SMF    |  866 |
| ABQ    | STL    |  934 |
| ABQ    | TPA    | 1497 |
| ABQ    | TUL    |  608 |
| ABQ    | TUS    |  321 |
| ABY    | ATL    |  146 |
| ACK    | EWR    |  218 |
| ACK    | JFK    |  199 |
| ACT    | DFW    |   89 |
| ACV    | CEC    |   56 |
| ACV    | MRY    |  327 |
| ACV    | SFO    |  250 |
| ACV    | SJC    |  276 |
| ACV    | SLC    |  635 |
| ACV    | SMF    |  207 |
| ACY    | ATL    |  678 |
| ACY    | JFK    |   92 |
| ACY    | LGA    |   99 |
| ADK    | ANC    | 1192 |
| ADQ    | ANC    |  252 |
| AEX    | ATL    |  500 |
| AEX    | DFW    |  285 |
| AEX    | IAH    |  190 |
| AGS    | ATL    |  143 |
| AGS    | CLT    |  140 |
| AGS    | LGA    |  678 |
| AKN    | ANC    |  289 |
| AKN    | DLG    |   71 |
| ALB    | ATL    |  852 |
| ALB    | BOS    |  145 |
| ALB    | BWI    |  288 |
| ALB    | CLE    |  424 |
| ALB    | CLT    |  646 |
| ALB    | CVG    |  623 |
| ALB    | DCA    |  318 |
| ALB    | DTW    |  488 |
| ALB    | EWR    |  143 |
| ALB    | FLL    | 1204 |
| ALB    | JFK    |  145 |
| ALB    | LAS    | 2237 |
| ALB    | MCO    | 1073 |
| ALB    | MDW    |  717 |
| ALB    | MSP    |  979 |
| ALB    | ORD    |  723 |
| ALB    | PHL    |  212 |
| ALB    | SBN    |  645 |
| ALB    | TPA    | 1130 |
| ALO    | MSP    |  166 |
| AMA    | ABQ    |  277 |
| AMA    | DAL    |  324 |
| AMA    | DEN    |  358 |
| AMA    | DFW    |  313 |
| AMA    | IAH    |  519 |
| AMA    | LAS    |  758 |
| AMA    | TUL    |  335 |
| ANC    | ADK    | 1192 |
| ANC    | ADQ    |  252 |
| ANC    | AKN    |  289 |
| ANC    | ATL    | 3417 |
| ANC    | BET    |  399 |
| ANC    | CDV    |  160 |
| ANC    | CVG    | 3110 |
| ANC    | DEN    | 2406 |
| ANC    | DFW    | 3043 |
| ANC    | DLG    |  329 |
| ANC    | DTW    | 2986 |
| ANC    | FAI    |  261 |
| ANC    | HNL    | 2777 |
| ANC    | IAH    | 3266 |
| ANC    | JNU    |  571 |
| ANC    | LAS    | 2304 |
| ANC    | LAX    | 2345 |
| ANC    | MSP    | 2518 |
| ANC    | OGG    | 2797 |
| ANC    | OME    |  539 |
| ANC    | ORD    | 2846 |
| ANC    | OTZ    |  549 |
| ANC    | PDX    | 1542 |
| ANC    | PHX    | 2551 |
| ANC    | SCC    |  626 |
| ANC    | SEA    | 1449 |
| ANC    | SFO    | 2018 |
| ANC    | SLC    | 2125 |
| ASE    | ATL    | 1304 |
| ASE    | DEN    |  125 |
| ASE    | GJT    |   89 |
| ASE    | LAX    |  737 |
| ASE    | MSN    |  951 |
| ASE    | ORD    | 1013 |
| ASE    | PHX    |  491 |
| ASE    | RFD    |  954 |
| ASE    | SFO    |  848 |
| ASE    | SLC    |  291 |
| ATL    | ABE    |  692 |
| ATL    | ABQ    | 1269 |
| ATL    | ABY    |  146 |
| ATL    | ACY    |  678 |
| ATL    | AEX    |  500 |
| ATL    | AGS    |  143 |
| ATL    | ALB    |  852 |
| ATL    | ANC    | 3417 |
| ATL    | ASE    | 1304 |
| ATL    | ATW    |  765 |
| ATL    | AUS    |  813 |
| ATL    | AVL    |  164 |
| ATL    | AVP    |  714 |
| ATL    | BDL    |  859 |
| ATL    | BGR    | 1134 |
| ATL    | BHM    |  134 |
| ATL    | BMI    |  533 |
| ATL    | BNA    |  214 |
| ATL    | BOI    | 1838 |
| ATL    | BOS    |  946 |
| ATL    | BQK    |  238 |
| ATL    | BTR    |  449 |
| ATL    | BTV    |  960 |
| ATL    | BUF    |  712 |
| ATL    | BWI    |  576 |
| ATL    | BZN    | 1641 |
| ATL    | CAE    |  191 |
| ATL    | CAK    |  528 |
| ATL    | CHA    |  106 |
| ATL    | CHO    |  457 |
| ATL    | CHS    |  259 |
| ATL    | CID    |  694 |
| ATL    | CLE    |  554 |
| ATL    | CLT    |  227 |
| ATL    | CMH    |  446 |
| ATL    | COS    | 1185 |
| ATL    | CRP    |  876 |
| ATL    | CRW    |  363 |
| ATL    | CSG    |   83 |
| ATL    | CVG    |  373 |
| ATL    | DAB    |  366 |
| ATL    | DAY    |  432 |
| ATL    | DCA    |  547 |
| ATL    | DEN    | 1199 |
| ATL    | DFW    |  732 |
| ATL    | DHN    |  171 |
| ATL    | DSM    |  743 |
| ATL    | DTW    |  594 |
| ATL    | EGE    | 1312 |
| ATL    | ELP    | 1282 |
| ATL    | EVV    |  350 |
| ATL    | EWN    |  433 |
| ATL    | EWR    |  745 |
| ATL    | EYW    |  646 |
| ATL    | FAY    |  331 |
| ATL    | FCA    | 1841 |
| ATL    | FLL    |  581 |
| ATL    | FLO    |  273 |
| ATL    | FNT    |  644 |
| ATL    | FSD    |  954 |
| ATL    | FSM    |  579 |
| ATL    | FWA    |  508 |
| ATL    | GNV    |  300 |
| ATL    | GPT    |  352 |
| ATL    | GRB    |  774 |
| ATL    | GRK    |  803 |
| ATL    | GRR    |  640 |
| ATL    | GSO    |  306 |
| ATL    | GSP    |  153 |
| ATL    | GTR    |  241 |
| ATL    | GUC    | 1301 |
| ATL    | HDN    | 1340 |
| ATL    | HHH    |  239 |
| ATL    | HNL    | 4502 |
| ATL    | HOU    |  696 |
| ATL    | HPN    |  780 |
| ATL    | HSV    |  151 |
| ATL    | IAD    |  533 |
| ATL    | IAH    |  689 |
| ATL    | ICT    |  781 |
| ATL    | ILM    |  377 |
| ATL    | IND    |  432 |
| ATL    | ISP    |  795 |
| ATL    | JAC    | 1572 |
| ATL    | JAN    |  341 |
| ATL    | JAX    |  270 |
| ATL    | JFK    |  760 |
| ATL    | LAS    | 1747 |
| ATL    | LAW    |  804 |
| ATL    | LAX    | 1946 |
| ATL    | LEX    |  303 |
| ATL    | LFT    |  503 |
| ATL    | LGA    |  761 |
| ATL    | LIT    |  453 |
| ATL    | LWB    |  369 |
| ATL    | LYH    |  389 |
| ATL    | MCI    |  692 |
| ATL    | MCN    |   79 |
| ATL    | MCO    |  403 |
| ATL    | MDT    |  619 |
| ATL    | MDW    |  590 |
| ATL    | MEI    |  267 |
| ATL    | MEM    |  332 |
| ATL    | MFE    |  974 |
| ATL    | MGM    |  147 |
| ATL    | MHT    |  952 |
| ATL    | MIA    |  595 |
| ATL    | MKE    |  669 |
| ATL    | MLB    |  443 |
| ATL    | MLI    |  633 |
| ATL    | MLU    |  448 |
| ATL    | MOB    |  302 |
| ATL    | MSN    |  707 |
| ATL    | MSP    |  906 |
| ATL    | MSY    |  425 |
| ATL    | MTJ    | 1352 |
| ATL    | MYR    |  317 |
| ATL    | OAJ    |  399 |
| ATL    | OAK    | 2130 |
| ATL    | OKC    |  761 |
| ATL    | OMA    |  821 |
| ATL    | ONT    | 1900 |
| ATL    | ORD    |  606 |
| ATL    | ORF    |  516 |
| ATL    | PBI    |  545 |
| ATL    | PDX    | 2172 |
| ATL    | PFN    |  247 |
| ATL    | PHF    |  508 |
| ATL    | PHL    |  665 |
| ATL    | PHX    | 1587 |
| ATL    | PIA    |  564 |
| ATL    | PIT    |  526 |
| ATL    | PNS    |  272 |
| ATL    | PVD    |  903 |
| ATL    | PWM    | 1027 |
| ATL    | RDU    |  356 |
| ATL    | RIC    |  481 |
| ATL    | RNO    | 1993 |
| ATL    | ROA    |  357 |
| ATL    | ROC    |  749 |
| ATL    | RSW    |  515 |
| ATL    | SAN    | 1891 |
| ATL    | SAT    |  874 |
| ATL    | SAV    |  215 |
| ATL    | SBN    |  566 |
| ATL    | SCE    |  615 |
| ATL    | SDF    |  321 |
| ATL    | SEA    | 2182 |
| ATL    | SFO    | 2139 |
| ATL    | SGF    |  563 |
| ATL    | SHV    |  552 |
| ATL    | SJC    | 2116 |
| ATL    | SJU    | 1547 |
| ATL    | SLC    | 1589 |
| ATL    | SMF    | 2092 |
| ATL    | SNA    | 1919 |
| ATL    | SRQ    |  445 |
| ATL    | STL    |  483 |
| ATL    | STT    | 1599 |
| ATL    | STX    | 1638 |
| ATL    | SWF    |  784 |
| ATL    | SYR    |  793 |
| ATL    | TLH    |  223 |
| ATL    | TOL    |  549 |
| ATL    | TPA    |  406 |
| ATL    | TRI    |  227 |
| ATL    | TUL    |  674 |
| ATL    | TUP    |  253 |
| ATL    | TUS    | 1541 |
| ATL    | TYS    |  152 |
| ATL    | VLD    |  208 |
| ATL    | VPS    |  264 |
| ATL    | XNA    |  589 |
| ATW    | ATL    |  765 |
| ATW    | CHS    |  907 |
| ATW    | CVG    |  411 |
| ATW    | DSM    |  321 |
| ATW    | DTW    |  297 |
| ATW    | MKE    |   96 |
| ATW    | MSP    |  236 |
| ATW    | ORD    |  160 |
| ATW    | XNA    |  629 |
| AUS    | ABQ    |  619 |
| AUS    | ATL    |  813 |
| AUS    | BNA    |  756 |
| AUS    | BOS    | 1698 |
| AUS    | BWI    | 1342 |
| AUS    | CLE    | 1174 |
| AUS    | CLT    | 1033 |
| AUS    | CVG    |  958 |
| AUS    | DAL    |  189 |
| AUS    | DEN    |  775 |
| AUS    | DFW    |  190 |
| AUS    | DSM    |  813 |
| AUS    | DTW    | 1149 |
| AUS    | ELP    |  528 |
| AUS    | EWR    | 1504 |
| AUS    | FLL    | 1105 |
| AUS    | HOU    |  148 |
| AUS    | HRL    |  273 |
| AUS    | IAD    | 1297 |
| AUS    | IAH    |  140 |
| AUS    | IND    |  920 |
| AUS    | JAX    |  954 |
| AUS    | JFK    | 1522 |
| AUS    | LAS    | 1090 |
| AUS    | LAX    | 1242 |
| AUS    | LBB    |  341 |
| AUS    | LGB    | 1226 |
| AUS    | MAF    |  294 |
| AUS    | MCI    |  650 |
| AUS    | MCO    |  993 |
| AUS    | MDW    |  972 |
| AUS    | MEM    |  559 |
| AUS    | MSP    | 1042 |
| AUS    | MSY    |  445 |
| AUS    | OAK    | 1497 |
| AUS    | OKC    |  358 |
| AUS    | ONT    | 1197 |
| AUS    | ORD    |  978 |
| AUS    | ORF    | 1319 |
| AUS    | PHL    | 1430 |
| AUS    | PHX    |  872 |
| AUS    | RDU    | 1162 |
| AUS    | SAN    | 1164 |
| AUS    | SEA    | 1770 |
| AUS    | SFO    | 1504 |
| AUS    | SJC    | 1476 |
| AUS    | SLC    | 1085 |
| AUS    | SNA    | 1209 |
| AUS    | STL    |  722 |
| AUS    | TPA    |  928 |
| AUS    | TUL    |  426 |
| AUS    | TUS    |  797 |
